Token;Tag
procedimentos;O
inadequados;O
da;O
prestadora;O
rompeu;O
o;O
contrato;O
,;O
como;O
evidenciado;O
no;O
documento;O
colacionado;O
à;O
fl;O
.;O
13;O
,;O
datado;O
de;O
abril;O
de;O
2010;O
.;O
Conjugando;O
os;O
documentos;O
de;O
fl;O
.;O
13;O
e;O
15;O
(;O
emitido;O
em;O
11.2.10;O
);O
,;O
conclui;O
-;O
se;O
que;O
já;O
havia;O
ciência;O
dos;O
problemas;O
ao;O
tempo;O
do;O
fim;O
do;O
contrato;O
da;O
reclamante;O
,;O
que;O
culminaram;O
na;O
ruptura;O
do;O
ajuste;O
de;O
prestação;O
de;O
serviços;O
,;O
sem;O
que;O
fossem;O
efetivadas;O
as;O
medidas;O
acautelatórias;O
contra;O
eventual;O
condenação;O
.;O
O;O
Estado;O
,;O
ao;O
contratar;O
o;O
serviço;O
,;O
tem;O
obrigação;O
de;O
acompanhar;O
e;O
fiscalizar;O
a;O
sua;O
execução;O
,;O
a;O
teor;O
dos;O
arts;I_Ref. Legislativa
.;I_Ref. Legislativa
58;I_Ref. Legislativa
,;I_Ref. Legislativa
III;I_Ref. Legislativa
,;I_Ref. Legislativa
e;I_Ref. Legislativa
67;I_Ref. Legislativa
da;I_Ref. Legislativa
Lei;I_Ref. Legislativa
8.666/93;I_Ref. Legislativa
,;I_Ref. Legislativa
podendo;O
,;O
inclusive;O
,;O
suspender;O
o;O
pagamento;O
de;O
parcela;O
ao;O
contratado;O
inadimplente;O
,;O
conforme;O
§;B_Ref. Legislativa
3º;I_Ref. Legislativa
do;I_Ref. Legislativa
art;I_Ref. Legislativa
.;I_Ref. Legislativa
116;I_Ref. Legislativa
,;I_Ref. Legislativa
sob;O
pena;O
de;O
arcar;O
com;O
as;O
conseqüências;O
patrimoniais;O
decorrentes;O
.;O
Tal;O
responsabilidade;O
é;O
fixada;O
para;O
que;O
se;O
amplie;O
a;O
base;O
econômica;O
em;O
que;O
o;O
empregado;O
firmará;O
seus;O
direitos;O
,;O
em;O
atendimento;O
ao;O
princípio;O
constitucional;O
do;O
valor;O
social;O
do;O
trabalho;O
,;O
tanto;O
é;O
que;O
sua;O
aplicação;O
está;O
condicionada;O
à;O
indicação;O
do;O
tomador;O
dos;O
serviços;O
para;O
compor;O
a;O
relação;O
processual;O
,;O
devendo;O
também;O
ele;O
constar;O
do;O
título;O
executivo;O
judicial;O
,;O
não;O
se;O
olvidando;O
que;O
a;O
sua;O
condenação;O
dependerá;O
da;O
inidoneidade;O
financeira;O
do;O
empregador;O
direto;O
.;O
(;O
.;O
.;O
.;O
);O
”;O
"
";O
"
";O
No;O
caso;O
dos;O
autos;O
,;O
portanto;O
,;O
tem;O
-;O
se;O
que;O
a;O
ratio;O
decidendi;O
da;O
condenação;O
do;O
Poder;O
Público;O
é;O
o;O
inadimplemento;O
de;O
verbas;O
trabalhistas;O
pela;O
empresa;O
contratada;O
após;O
regular;O
processo;O
licitatório;O
,;O
o;O
que;O
evidenciaria;O
falta;O
de;O
fiscalização;O
pelo;O
Poder;O
Público;O
ou;O
sua;O
ineficiência;O
e;O
justificaria;O
a;O
imputação;O
de;O
culpa;O
in;O
vigilando;O
,;O
incidindo;O
,;O
na;O
espécie;O
,;O
a;O
Súmula;B_Precedente
TST;I_Precedente
nº;I_Precedente
331;I_Precedente
.;I_Precedente
"
";O
"
";O
No;O
tocante;O
à;O
não;O
observância;O
da;O
Súmula;B_Precedente
Vinculante;I_Precedente
nº;I_Precedente
10;I_Precedente
,;I_Precedente
é;O
de;O
se;O
questionar;O
a;O
existência;O
de;O
interesse;O
de;O
agir;O
na;O
presente;O
reclamação;O
.;O
Isso;O
porque;O
o;O
enunciado;O
foi;O
editado;O
a;O
fim;O
de;O
fazer;O
prevalecer;O
a;O
chamada;O
“cláusula;O
de;O
reserva;O
de;O
plenário”;O
,;O
inscrita;O
no;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
97;I_Ref. Legislativa
da;I_Ref. Legislativa
Constituição;I_Ref. Legislativa
Federal;I_Ref. Legislativa
,;I_Ref. Legislativa
que;O
deve;O
ser;O
respeitada;O
pelos;O
tribunais;O
quando;O
,;O
no;O
exercício;O
da;O
jurisdição;O
,;O
precisem;O
declarar;O
a;O
inconstitucionalidade;O
de;O
lei;O
ou;O
ato;O
normativo;O
do;O
Poder;O
Público;O
.;O
Vide;O
:;O
"
";O
"
";O
“Art;O
.;O
97;O
.;O
Somente;O
pelo;O
voto;O
da;O
maioria;O
absoluta;O
de;O
seus;O
membros;O
ou;O
dos;O
membros;O
do;O
respectivo;O
órgão;O
especial;O
poderão;O
os;O
tribunais;O
declarar;O
a;O
inconstitucionalidade;O
de;O
lei;O
ou;O
ato;O
normativo;O
do;O
Poder;O
Público;O
.;O
”;O
"
";O
"
";O
Referida;O
regra;O
,;O
entretanto;O
,;O
é;O
excepcionada;O
quando;O
“já;O
houver;O
pronunciamento;O
[do;O
tribunal;O
julgador];O
ou;O
do;O
plenário;O
do;O
Supremo;O
Tribunal;O
Federal;O
sobre;O
a;O
questão”;O
(;O
parágrafo;B_Ref. Legislativa
único;I_Ref. Legislativa
do;I_Ref. Legislativa
artigo;I_Ref. Legislativa
481;I_Ref. Legislativa
do;I_Ref. Legislativa
Código;I_Ref. Legislativa
de;I_Ref. Legislativa
Processo;I_Ref. Legislativa
Civil;I_Ref. Legislativa
);I_Ref. Legislativa
.;O
"
";O
"
";O
A;O
norma;O
que;O
está;O
em;O
debate;O
na;O
presente;O
ação;O
–;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
71;I_Ref. Legislativa
,;I_Ref. Legislativa
§;I_Ref. Legislativa
1º;I_Ref. Legislativa
,;I_Ref. Legislativa
da;I_Ref. Legislativa
Lei;I_Ref. Legislativa
nº;I_Ref. Legislativa
8.666/93;I_Ref. Legislativa
–;O
foi;O
declarada;O
constitucional;O
por;O
esta;O
Suprema;O
Corte;O
na;O
sessão;O
plenária;O
de;O
24/11/2010;O
,;O
com;O
eficácia;O
a;O
partir;O
da;O
publicação;O
da;O
ata;O
de;O
julgamento;O
no;O
Diário;O
de;O
Justiça;O
eletrônico;O
,;O
em;O
3/12/2010;O
.;O
Após;O
essa;O
data;O
,;O
qualquer;O
decisão;O
que;O
negue;O
vigência;O
ao;O
§;B_Ref. Legislativa
1º;I_Ref. Legislativa
do;I_Ref. Legislativa
art;I_Ref. Legislativa
.;I_Ref. Legislativa
71;I_Ref. Legislativa
da;I_Ref. Legislativa
Lei;I_Ref. Legislativa
nº;I_Ref. Legislativa
8.666/93;I_Ref. Legislativa
por;O
fundamento;O
constitucional;O
estará;O
em;O
confronto;O
com;O
a;O
decisão;O
desta;O
Suprema;O
Corte;O
na;O
ADC;B_Precedente
nº;I_Precedente
16;I_Precedente
/;I_Precedente
DF;I_Precedente
.;I_Precedente
"
";O
"
";O
Não;O
há;O
possibilidade;O
que;O
os;O
demais;O
órgãos;O
do;O
Poder;O
Judiciário;O
decidam;O
de;O
forma;O
contrária;O
,;O
ou;O
seja;O
,;O
nem;O
mesmo;O
órgão;O
especial;O
ou;O
plenário;O
de;O
outros;O
tribunais;O
poderão;O
declarar;O
a;O
inconstitucionalidade;O
do;O
disposto;O
no;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
71;I_Ref. Legislativa
,;I_Ref. Legislativa
§;I_Ref. Legislativa
1º;I_Ref. Legislativa
,;I_Ref. Legislativa
da;I_Ref. Legislativa
Lei;I_Ref. Legislativa
nº;I_Ref. Legislativa
8.666/93;I_Ref. Legislativa
,;I_Ref. Legislativa
sob;O
pena;O
de;O
afronta;O
à;O
ADC;B_Precedente
nº;I_Precedente
16;I_Precedente
/;I_Precedente
DF;I_Precedente
.;I_Precedente
"
";O
"
";O
Em;O
uma;O
primeira;O
análise;O
,;O
não;O
haveria;O
interesse;O
de;O
agir;O
do;O
autor;O
na;O
parte;O
em;O
que;O
alega;O
desrespeito;O
à;O
Súmula;B_Precedente
Vinculante;I_Precedente
10;I_Precedente
,;I_Precedente
pois;O
inadequado;O
qualquer;O
provimento;O
desta;O
Suprema;O
Corte;O
que;O
anule;O
decisão;O
de;O
órgão;O
fracionário;O
de;O
tribunal;O
a;O
fim;O
de;O
que;O
a;O
constitucionalidade;O
do;O
dispositivo;O
seja;O
apreciada;O
em;O
respeito;O
à;O
“cláusula;O
de;O
reserva;O
de;O
plenário”;O
.;O
"
";O
"
";O
No;O
entanto;O
,;O
a;O
Súmula;B_Precedente
Vinculante;I_Precedente
nº;I_Precedente
10;I_Precedente
não;O
é;O
o;O
único;O
paradigma;O
de;O
confronto;O
na;O
presente;O
"reclamação;";O
aponta;O
-;O
se;O
como;O
desrespeitado;O
o;O
próprio;O
entendimento;O
desta;O
Suprema;O
Corte;O
firmado;O
na;O
ADC;B_Precedente
nº;I_Precedente
16;I_Precedente
/;I_Precedente
DF;I_Precedente
.;I_Precedente
"
";O
"
";O
O;O
Plenário;O
desta;O
Corte;O
,;O
em;O
24/11/2010;O
,;O
no;O
julgamento;O
da;O
ADC;B_Precedente
nº;I_Precedente
16;I_Precedente
/;I_Precedente
DF;I_Precedente
,;I_Precedente
Relator;O
o;O
Ministro;B_Pessoa
Cezar;I_Pessoa
Peluso;I_Pessoa
,;I_Pessoa
declarou;O
a;O
constitucionalidade;O
do;O
§;B_Ref. Legislativa
1º;I_Ref. Legislativa
do;I_Ref. Legislativa
artigo;I_Ref. Legislativa
71;I_Ref. Legislativa
da;I_Ref. Legislativa
Lei;I_Ref. Legislativa
nº;I_Ref. Legislativa
8.666/93;I_Ref. Legislativa
,;I_Ref. Legislativa
tendo;O
observado;O
que;O
eventual;O
responsabilização;O
do;O
poder;O
público;O
no;O
pagamento;O
de;O
encargos;O
trabalhistas;O
não;O
decorre;O
de;O
responsabilidade;O
"objetiva;";O
antes;O
,;O
deve;O
vir;O
fundamentada;O
no;O
descumprimento;O
de;O
obrigações;O
decorrentes;O
do;O
contrato;O
pela;O
administração;O
pública;O
,;O
devidamente;O
comprovada;O
no;O
caso;O
concreto;O
.;O
"
";O
"
";O
Mais;O
uma;O
vez;O
,;O
ressalto;O
que;O
não;O
foi;O
afastada;O
a;O
possibilidade;O
de;O
o;O
poder;O
público;O
ser;O
condenado;O
ao;O
pagamento;O
de;O
verbas;O
decorrentes;O
da;O
prestação;O
do;O
serviço;O
ao;O
trabalhador;O
,;O
quando;O
demonstrado;O
,;O
no;O
caso;O
concreto;O
,;O
o;O
descumprimento;O
das;O
obrigações;O
do;O
contrato;O
.;O
"
";O
"
";O
Em;O
juízo;O
de;O
estrita;O
delibação;O
,;O
verifico;O
que;O
a;O
autoridade;O
reclamada;O
não;O
expõe;O
a;O
conduta;O
culposa;O
imputável;O
ao;O
ente;O
público;O
,;O
mediante;O
análise;O
de;O
situação;O
concreta;O
.;O
"
";O
"
";O
O;O
caso;O
sob;O
análise;O
apresenta;O
a;O
peculiaridade;O
de;O
a;O
autoridade;O
reclamada;O
imputar;O
ao;O
ente;O
público;O
o;O
ônus;O
probatório;O
quanto;O
ao;O
adequado;O
exercício;O
do;O
dever;O
fiscalizatório;O
do;O
contrato;O
de;O
prestação;O
de;O
serviço;O
ajustado;O
com;O
a;O
empresa;O
a;O
que;O
foi;O
adjudicado;O
o;O
objeto;O
licitado;O
.;O
"
";O
"
";O
Em;O
outras;O
palavras;O
,;O
a;O
Justiça;O
do;O
Trabalho;O
,;O
a;O
fim;O
de;O
se;O
adequar;O
ao;O
entendimento;O
firmado;O
no;O
julgamento;B_Precedente
da;I_Precedente
ADC;I_Precedente
nº;I_Precedente
16;I_Precedente
/;I_Precedente
DF;I_Precedente
(;O
que;O
afastou;O
a;O
responsabilidade;O
objetiva;O
do;O
Poder;O
Público;O
);O
,;O
imputou;O
ao;O
ente;O
estatal;O
o;O
ônus;O
de;O
provar;O
ter;O
agido;O
de;O
forma;O
legal;O
,;O
legítima;O
e;O
idônea;O
.;O
"
";O
"
";O
Nesse;O
ponto;O
,;O
destaco;O
que;O
Celso;B_Pessoa
Antônio;I_Pessoa
Bandeira;I_Pessoa
de;I_Pessoa
Mello;I_Pessoa
elege;O
como;O
pedras;O
de;O
toque;O
do;O
Regime;O
Jurídico;O
Administrativo;O
os;O
princípios;O
da;O
supremacia;O
do;O
interesse;O
público;O
sobre;O
o;O
interesse;O
privado;O
e;O
o;O
princípio;O
da;O
indisponibilidade;O
do;O
interesse;O
público;O
(;O
BANDEIRA;B_Doutrinador
DE;I_Doutrinador
MELLO;I_Doutrinador
,;I_Doutrinador
Celso;I_Doutrinador
Antônio;I_Doutrinador
.;I_Doutrinador
Curso;I_Doutrinador
de;I_Doutrinador
Direito;I_Doutrinador
Administrativo;I_Doutrinador
,;I_Doutrinador
25ª;I_Doutrinador
Edição;I_Doutrinador
.;I_Doutrinador
São;I_Doutrinador
Paulo;I_Doutrinador
:;I_Doutrinador
Malheiros;I_Doutrinador
,;I_Doutrinador
2008;I_Doutrinador
.;I_Doutrinador
p;I_Doutrinador
.;I_Doutrinador
55;I_Doutrinador
);I_Doutrinador
,;O
do;O
que;O
decorre;O
o;O
princípio;B_Ref. Legislativa
constitucional;I_Ref. Legislativa
da;I_Ref. Legislativa
legalidade;I_Ref. Legislativa
para;I_Ref. Legislativa
a;I_Ref. Legislativa
Administração;I_Ref. Legislativa
Pública;I_Ref. Legislativa
.;I_Ref. Legislativa
"
";O
"
";O
Diferentemente;O
da;O
esfera;O
do;O
direito;O
privado;O
em;O
que;O
as;O
relações;O
são;O
regidas;O
pelo;O
princípio;O
da;O
não;O
contradição;O
à;O
lei;O
,;O
podendo;O
o;O
particular;O
fazer;O
tudo;O
o;O
que;O
não;O
lhe;O
é;O
vedado;O
pelo;O
ordenamento;O
jurídico;O
-;O
,;O
as;O
relações;O
estabelecidas;O
pelo;O
Poder;O
Público;O
devem;O
estar;O
,;O
necessariamente;O
,;O
subordinadas;O
ao;O
direito;O
positivado;O
,;O
somente;O
sendo;O
legítimo;O
fazer;O
o;O
que;O
expressamente;O
previsto;O
na;O
legislação;O
.;O
"
";O
"
";O
Disso;O
decorre;O
a;O
presunção;O
de;O
legalidade;O
e;O
legitimidade;O
dos;O
atos;O
administrativos;O
.;O
Isto;O
é;O
:;O
pressupõe;O
-;O
se;O
que;O
os;O
atos;O
do;O
Poder;O
Público;O
foram;O
praticados;O
em;O
consonância;O
com;O
normas;O
legais;O
e;O
os;O
princípios;O
que;O
regem;O
a;O
Administração;O
Pública;O
.;O
É;O
certo;O
,;O
entretanto;O
,;O
que;O
essa;O
presunção;O
não;O
é;O
absoluta;O
,;O
mas;O
antes;O
,;O
juris;O
tantum;O
,;O
abrindo;O
a;O
possibilidade;O
de;O
ser;O
afastada;O
na;O
análise;O
do;O
caso;O
concreto;O
.;O
"
";O
"
";O
Nas;O
palavras;O
de;O
Fernanda;I_Pessoa
Marinela;I_Pessoa
:;I_Pessoa
"
";O
"
";O
“;O
(;O
.;O
.;O
.;O
);O
Todo;O
ato;O
administrativo;O
é;O
presumidamente;O
legal;O
(;O
obediência;O
à;O
lei;O
);O
,;O
legítimo;O
(;O
obediência;O
às;O
regras;O
da;O
moral;O
);O
e;O
verdadeiro;O
(;O
correspondente;O
com;O
a;O
verdade;O
);O
,;O
até;O
que;O
se;O
prove;O
o;O
contrário;O
.;O
"
";O
"
";O
Trata;O
-;O
se;O
de;O
presunção;O
relativa;O
,;O
do;O
latim;O
,;O
presunção;O
juris;O
tantum;O
,;O
admitindo;O
-;O
se;O
prova;O
em;O
contrário;O
,;O
cabendo;O
o;O
ônus;O
probatório;O
a;O
quem;O
aponta;O
a;O
ilegitimidade;O
(;O
.;O
.;O
.;O
);O
.;O
”;O
(;O
MARINELA;B_Doutrinador
,;I_Doutrinador
Fernanda;I_Doutrinador
,;I_Doutrinador
Direito;I_Doutrinador
Administrativo;I_Doutrinador
,;I_Doutrinador
6ª;I_Doutrinador
edição;I_Doutrinador
,;I_Doutrinador
Niterói;I_Doutrinador
:;I_Doutrinador
Impetus;I_Doutrinador
,;I_Doutrinador
2012;I_Doutrinador
);I_Doutrinador
.;O
"
";O
"
";O
Nessa;O
perspectiva;O
,;O
tem;O
-;O
se;O
que;O
somente;O
nos;O
casos;O
em;O
que;O
se;O
lograr;O
comprovar;O
terem;O
sido;O
os;O
atos;O
administrativos;O
praticados;O
em;O
desconformidade;O
com;O
a;O
lei;O
poderá;O
o;O
Poder;O
Público;O
ser;O
responsabilizado;O
por;O
verbas;O
trabalhistas;O
devidas;O
a;O
trabalhador;O
contratado;O
por;O
empresa;O
submetida;O
a;O
processo;O
licitatório;O
.;O
"
";O
"
";O
Em;O
sede;O
de;O
juízo;O
sumário;O
,;O
próprio;O
das;O
medidas;O
liminares;O
,;O
entendo;O
que;O
a;O
decisão;O
reclamada;O
apoia;O
-;O
se;O
no;O
argumento;O
da;O
inversão;O
do;O
ônus;O
da;O
prova;O
para;O
persistir;O
no;O
entendimento;O
anteriormente;O
sedimentado;O
na;O
Justiça;O
do;O
Trabalho;O
,;O
que;O
deu;O
ensejo;O
à;O
propositura;O
da;O
ADC;B_Precedente
nº;I_Precedente
16;I_Precedente
/;I_Precedente
DF;I_Precedente
e;O
no;O
qual;O
essa;O
Suprema;O
Corte;O
fundamentou;O
a;O
superação;O
da;O
preliminar;O
suscitada;O
pelo;O
Ministro;I_Pessoa
Cezar;I_Pessoa
Peluso;I_Pessoa
para;O
,;O
afirmando;O
a;O
existência;O
de;O
controvérsia;O
judicial;O
relevante;O
sobre;O
a;O
aplicação;O
da;O
disposição;O
objeto;O
da;O
ação;O
declaratória;O
(;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
14;I_Ref. Legislativa
,;I_Ref. Legislativa
III;I_Ref. Legislativa
,;I_Ref. Legislativa
da;I_Ref. Legislativa
Lei;I_Ref. Legislativa
nº;I_Ref. Legislativa
9.868/99;I_Ref. Legislativa
);I_Ref. Legislativa
